id,success,k1,step,video_name,image_num,image_path
0,0,1143,In a very large bowl  whisk together 12 cups (1.5 kg) of flour  1⁄2 cup (100 g) of sugar  and 2 teaspoons of salt.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00124,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00124.jpg
1,0,1143,In a very large bowl  whisk together 12 cups (1.5 kg) of flour  1⁄2 cup (100 g) of sugar  and 2 teaspoons of salt.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00180,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00180.jpg
2,0,1143,In a very large bowl  whisk together 12 cups (1.5 kg) of flour  1⁄2 cup (100 g) of sugar  and 2 teaspoons of salt.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00236,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00236.jpg
3,0,1143,In a very large bowl  whisk together 12 cups (1.5 kg) of flour  1⁄2 cup (100 g) of sugar  and 2 teaspoons of salt.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00291,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00291.jpg
4,0,1143,In a very large bowl  whisk together 12 cups (1.5 kg) of flour  1⁄2 cup (100 g) of sugar  and 2 teaspoons of salt.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00347,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00347.jpg
5,0,6,Create a well in the center and add 24 eggs.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00423,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00423.jpg
6,1,6,Create a well in the center and add 24 eggs.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00438,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00438.jpg
7,0,6,Create a well in the center and add 24 eggs.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00453,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00453.jpg
8,0,6,Create a well in the center and add 24 eggs.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00468,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00468.jpg
9,0,6,Create a well in the center and add 24 eggs.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00483,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00483.jpg
