id,success,k1,step,video_name,image_num,image_path
0,0,4913,In a very large bowl  whisk together 12 cups (1.5 kg) of flour  1⁄2 cup (100 g) of sugar  and 2 teaspoons of salt.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00236,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00236.jpg
1,0,4359,Create a well in the center and add 24 eggs.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00453,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00453.jpg
2,0,7836,Stir together vigorously with a large wooden spoon until combined.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00586,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00586.jpg
3,0,3537,Add 1 cup (240 ml) of milk and continue to stir vigorously until combined.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00791,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00791.jpg
4,0,8783,Add 11⁄2 cups (345 g) of the melted butter.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00941,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00941.jpg
5,0,5358,Stir until combined.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01013,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01013.jpg
6,0,3537,Gradually add 14 more cups (3.3 l) of milk to the batter  stirring well after each addition.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01128,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01128.jpg
7,1,7,Once the batter has loosened a bit  switch from the wooden spoon to a heavy duty whisk.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01213,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01213.jpg
8,0,7,Whisk vigorously to remove any clumps.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01283,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01283.jpg
9,0,8013,Once the milk is incorporated and there are no more lumps  whisk in 1 cup (240 ml) of water and 2 tablespoons of vanilla.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01471,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01471.jpg
10,0,20,Repeat steps 1-7 to prepare the second batch of batter.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01643,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01643.jpg
11,0,12,Pour 1⁄2 cup (120 ml) of batter onto the heated griddle and swirl evenly to coat.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01858,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01858.jpg
12,0,8601,Cook for approximately 2 minutes  until the crepe begins to lightly brown on the bottom.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,02053,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/02053.jpg
13,0,7387,Flip the crepe and cook for another minute on the other side.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,02123,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/02123.jpg
14,0,8662,Remove from the pan and set aside to cool.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,02201,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/02201.jpg
15,1,15,Repeat 99 more times.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,02303,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/02303.jpg
16,0,31,Place the completed crepes in stacks of 10 and store  covered  in the fridge until ready to assemble the cake.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,02411,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/02411.jpg
17,0,4085,Make the vanilla pastry cream: In a large stock pot set over medium heat  add the egg_yolks  milk  cream  sugar  salt  and cornstarch.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,02563,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/02563.jpg
18,0,3611,Whisk vigorously to combine.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,02733,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/02733.jpg
19,0,3274,Whisk constantly until the mixture thickens significantly and bubbles just begin to burst on the surface.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,02841,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/02841.jpg
20,0,2118,Remove the pot from the heat and add the butter and vanilla.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,03083,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/03083.jpg
21,1,21,Repeat to make the other flavors of pastry cream.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,03288,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/03288.jpg
22,0,453,Pour the cream onto a baking sheet lined with plastic wrap.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,03451,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/03451.jpg
23,0,6439,Immediately place in the fridge to cool and set  overnight.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,03543,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/03543.jpg
24,0,13,To assemble the crepe cake  place 1 crepe on a large cutting board or baking sheet (you will need to be able to transfer the cake to and from the freezer).,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,03611,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/03611.jpg
25,0,5415,Place another crepe directly on top and spread with more pastry cream.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,03841,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/03841.jpg
26,1,26,Repeat until you have 25 crepes stacked with the first filling.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,03928,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/03928.jpg
27,0,2222,Transfer the assembled cake to the freezer to chill for 15 minutes between flavors.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,04011,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/04011.jpg
28,0,26,Repeat with each flavor of pastry cream  layering 25 crepes with each flavor filling.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,04298,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/04298.jpg
